26564,25739,3100,395,10256142,312367,4695,53313,251123,19364,15194,11921,12817,851668,19472,12565,383,1645,3936,9026,9806449,5321217,2016,3028,56750,230692,15591,3483974,42526,2522402,38723,217367,150820,9290,72180,235789,55973,595303,2417,27701,17665,565846,107186,154821,129249,3475721,3130,2432565,35129,10378149,7709594,5231496,2952391,376000,3553736,19608,14609,261555,365415,2271067,1577441,705625,3688628,1752996,1971942,3375866,3873463,595517,2245042,42290,1560280,18292,10399426,1775329,19545,270099,2292611,3760461,4371826,62732,9995528,14409124,14947772,24579270,23223613,8291191,14278773,24040301,7314433,7224758,15320756,16171917,7027568,8201267,8300377,9236115,17163998,18606118,18781551,7629643
7677,3480,2303,1819,10783,3075,1401,13272,1800,3038,1291,1118,1084,4046,9847,1127,910,807,792,847,4559,4190,1214,990,1160,1390,1165,3192,1329,2763,1289,2114,1447,1229,1836,1304,7911,14639,1297,1181,1251,1404,1349,1389,1468,2847,1180,2284,1662,4712,3863,3314,3282,2016,4157,1511,1276,1909,1858,3182,2441,1958,2978,10358,2638,4419,3202,2090,2942,1627,1957,1488,6588,4499,1784,2536,14543,4748,4848,1811,4604,6130,7005,7699,7636,4980,6179,6027,4348,4146,6411,5252,4083,4536,4407,4865,12198,7713,5931,5614
27432,28523,3632,351,11228869,315034,4749,53706,246176,17235,15113,11962,12863,849351,19469,12374,421,1624,4062,8883,9607383,5163585,1803,3005,55992,224995,15439,3755133,42069,2701458,39454,215796,154214,9557,74283,244061,57276,576394,2506,28449,18057,582538,109772,158996,133270,3515101,3266,2452427,36546,11097731,7979466,5082538,2890349,341447,3507739,20438,14859,291994,350398,2300991,2027253,725001,3906774,1802776,2026213,3520544,4093081,650097,2394899,45884,1596584,19916,10529657,1709145,19341,262639,2209648,3795719,4198373,60912,9894086,14485609,14049198,22447942,22441847,8052395,13663016,23227508,7270861,7227695,14692063,15543083,6853714,7995784,7846907,9001075,17163704,18070252,17622848,7311831
6014,2559,1904,1600,7527,4646,1171,1025,1508,1172,1011,922,900,1592,1406,1040,870,797,771,865,4237,3815,1199,951,1108,21812,1190,19648,1448,4268,1368,1525,1442,1219,1247,1264,1183,12143,1294,1170,1239,1550,1299,1334,1361,3784,1173,2199,1600,6257,4104,3434,3247,2600,4398,1433,1245,2186,1919,62983,24430,2174,4446,2563,2094,5107,3564,2101,3077,1629,1791,1547,6193,3089,1370,1887,15254,8985,4554,1631,3806,4452,4214,4154,7572,7187,6293,6122,4640,3708,4579,4408,3570,4073,4389,3934,7104,6260,4840,4664
18821,18918,1811,273,8418822,307104,4469,53346,244592,17328,15148,11888,12642,838649,19352,12367,412,1635,3939,43249,9560720,5138748,1859,2954,55347,224581,15098,3383664,41258,2471360,37056,206278,149284,9143,70419,229077,54170,551787,2251,26661,16766,561128,102199,162905,126050,3456986,3257,2333237,35331,10304492,7627163,5077279,2898876,346682,3461493,19086,14491,254503,334714,2171960,1520445,692984,3608954,2485473,2302305,3613686,4168636,648361,2420374,46560,1640791,20117,10791819,1774826,20416,276026,2532861,3970734,4168482,61196,9994298,14447590,14187142,23229146,22682314,7937261,13824246,23177603,7236257,7228033,14736183,15720605,6836212,7958431,7902580,9048245,16452696,17336982,17603660,7232111
3505,1305,965,860,2426,1534,1141,988,1202,1191,933,920,5180,1382,1134,992,839,792,718,815,4374,2710,1105,941,1079,1260,1145,1975,1279,2135,1234,1400,1362,1135,1190,1181,1267,22862,2134,1151,1193,1203,1208,1324,1320,3571,1013,1851,1480,4877,3838,3910,2908,2245,3614,1377,1177,1927,1786,1673,1954,2499,5715,5712,6799,4670,3401,2044,3321,1616,2039,1568,7158,3352,1526,1850,17469,6852,4291,1845,4410,5160,7609,5341,7828,7127,6155,5273,5150,4177,4558,4094,4180,3890,5344,4975,27066,56818,35906,24269
18046,18812,1806,245,8667534,311302,4546,56810,245630,17313,15036,12006,12967,833504,19414,12415,397,1588,3937,8850,9702159,5223931,2300,3049,55424,226148,15193,3445777,41071,2548353,37399,205413,150167,9124,71053,276807,56158,589842,2487,27587,18045,605901,108537,155894,130084,3755441,3248,2433301,35941,10366767,7700563,5076338,2916747,376036,3539378,32732,14571,262459,370579,2268189,1616895,730055,3788916,1770481,1964152,3700154,4299988,627303,2453015,46310,1610992,19440,10875079,2115746,21141,302335,2571724,3822097,4322362,62807,10014369,15061269,15121290,23872770,24018084,7978854,14232838,23508325,7302239,7248954,15420203,16148644,6854443,8217773,8105277,8994393,16618366,17343449,17102372,7081386
24731,8151,5498,1569,9784,2793,1799,2003,2131,1816,1670,1598,1467,2406,1866,1732,1468,1346,1347,19281,37275,13716,1870,1549,1893,2181,1854,6070,1927,5132,2166,14683,2404,1870,2170,2101,1921,12999,1843,1690,1846,2495,2113,2136,2158,5907,1768,3297,2315,15161,8405,25297,7045,3714,8127,2275,1794,3103,2751,8413,5537,3639,11272,2696,1898,4904,6035,2302,3485,1437,1938,1334,7286,5094,1571,2220,16933,4159,3728,1534,3854,5577,5641,5370,6758,5845,6743,6073,4317,3444,6497,5213,3694,4442,4644,4276,3941,5266,4846,3023
18092,18610,1824,255,8259542,310148,4556,53276,245057,17356,14969,11822,13030,842285,19213,12368,365,1626,3975,8987,9555319,5154550,1744,2988,55447,226278,15134,3370466,41359,2495538,37633,225663,145858,9087,70188,229473,53929,543334,2382,27283,17178,577641,104258,150993,125863,3445762,3033,2324385,34989,10208172,7539845,4931597,2835882,335695,3403232,18790,13893,249782,352580,2129423,1503268,664329,3496399,1663641,1874901,3288861,3758697,579466,2188057,42347,1465260,18028,9942535,1869465,19494,281958,2230551,3960716,4389348,61633,10103131,14728469,14671278,23196758,22406856,7829572,14104076,23359945,7336328,7204534,14865838,15722658,6818271,8073893,8462067,9248598,17100006,17280143,17500665,7390716
3536,1109,988,662,4667,1342,925,805,1082,953,888,858,726,1249,976,825,667,615,710,620,3184,2084,945,777,922,1050,994,2361,1045,1982,1030,1173,1168,1032,989,1021,976,11529,1078,904,933,1097,1215,1069,1117,2551,920,1521,1328,4637,3249,9702,2684,2009,3320,1448,890,1674,1801,1971,2039,1620,7909,2304,1375,4159,2464,1680,2694,1226,1445,1183,14360,25830,1533,1866,14092,48199,23212,1565,4731,5474,5615,5272,6092,7129,7306,6877,4065,3587,4683,3821,4208,5835,6284,3794,4604,6029,4926,4657
